# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 3
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
